"NA06985","NA06994","NA07037","NA10847","NA11920","NA11918","NA11931","NA12003","NA12006","NA12287"
"ENSG00000103549",865,573,648,847,1115,171,968,888,2054,754
"ENSG00000103550",36,34,29,37,99,27,115,63,157,60
"ENSG00000103569",8,10,11,5,2,16,66,1,182,83
"ENSG00000103591",109,149,108,111,280,94,586,125,284,283
"ENSG00000103599",1,0,1,1,1,0,3,3,19,0
"ENSG00000103642",225,133,184,115,56,58,254,150,79,257
"ENSG00000103653",2723,1787,2659,1956,3855,402,2347,2503,5592,2309
"ENSG00000103657",203,253,196,210,558,144,730,447,997,269
"ENSG00000103671",78,53,24,64,53,45,120,93,137,66
"ENSG00000103707",50,41,39,38,77,26,110,63,3,105
"ENSG00000103710",0,0,0,1,1,0,0,1,0,1
"ENSG00000103723",1,0,0,0,0,1,0,1,0,0
"ENSG00000103740",0,1,0,4,2,3,7,3,0,2
"ENSG00000103742",1,5,14,2,1,2,4,0,0,3
"ENSG00000103769",229,188,168,139,426,270,900,303,506,426
"ENSG00000103811",1699,811,2047,1492,3463,1169,2597,1661,3608,3926
"ENSG00000103852",9,40,25,31,23,11,85,55,70,15
"ENSG00000103855",10,3,38,8,0,19,9,7,29,12
"ENSG00000103876",139,169,163,145,252,77,356,210,256,383
"ENSG00000103888",0,0,0,1,2,1,0,1,0,2
"ENSG00000103932",194,224,263,217,331,53,347,402,728,300
"ENSG00000103942",6,21,11,14,12,1,15,5,0,4
"ENSG00000103966",1423,1130,1827,1691,1755,396,2077,2053,3766,2486
"ENSG00000103978",118,64,67,98,62,116,277,117,59,180
"ENSG00000103994",231,340,253,240,542,301,857,510,917,440
"ENSG00000103995",15,29,34,63,36,43,81,86,29,34
"ENSG00000104043",1,2,5,0,2,0,6,3,0,1
"ENSG00000104044",0,0,0,0,0,0,0,0,0,2
"ENSG00000104047",4,9,7,2,12,10,17,19,55,10
"ENSG00000104055",48,41,6,6,19,5,32,8,85,98
"ENSG00000104059",3,34,0,11,8,0,8,0,50,0
"ENSG00000104064",105,71,77,108,148,86,227,119,168,192
"ENSG00000104067",35,1,22,14,1,0,2,7,43,0
"ENSG00000104081",521,265,460,545,683,275,996,855,1764,528
"ENSG00000104093",91,35,31,52,75,32,178,119,307,63
"ENSG00000104112",0,0,0,0,2,0,0,0,0,0
"ENSG00000104129",47,34,28,40,40,11,59,31,74,53
"ENSG00000104131",123,123,129,81,205,103,245,135,242,190
"ENSG00000104133",146,219,150,158,305,169,619,511,680,330
"ENSG00000104140",419,155,157,82,32,19,64,118,500,263
"ENSG00000104142",304,217,336,380,461,75,459,312,774,448
"ENSG00000104147",28,30,67,37,72,19,104,34,18,109
"ENSG00000104154",4,11,15,2,14,19,6,6,61,6
"ENSG00000104164",98,87,95,55,100,173,338,95,118,178
"ENSG00000104177",58,43,100,66,40,44,113,69,58,64
"ENSG00000104205",0,1,0,0,2,2,2,1,0,0
"ENSG00000104213",3,0,3,0,0,0,2,0,0,17
"ENSG00000104218",29,25,15,39,65,21,157,31,318,33
"ENSG00000104219",32,55,71,27,99,60,104,53,60,54
"ENSG00000104221",61,48,83,38,43,10,79,72,49,78
"ENSG00000104228",298,206,273,254,204,68,366,269,413,355
"ENSG00000104231",61,50,27,50,150,101,192,121,33,112
"ENSG00000104237",0,0,0,0,0,0,0,0,0,2
"ENSG00000104267",10,12,27,30,43,27,23,2,49,77
"ENSG00000104290",18,23,15,29,124,46,165,61,72,28
"ENSG00000104299",213,147,144,156,487,90,494,260,723,319
"ENSG00000104312",114,107,130,118,143,50,211,210,353,196
"ENSG00000104320",259,166,168,160,332,236,680,276,517,408
"ENSG00000104321",0,0,0,0,1,1,1,0,0,0
"ENSG00000104324",3,0,0,0,0,2,2,5,0,1
"ENSG00000104325",97,82,84,101,251,129,374,113,94,158
"ENSG00000104327",0,0,0,0,0,0,0,1,0,0
"ENSG00000104331",145,143,221,154,324,221,434,215,203,298
"ENSG00000104332",0,3,0,1,0,0,0,0,0,121
"ENSG00000104341",56,240,46,104,19,42,182,128,123,7
"ENSG00000104343",17,8,6,15,17,21,49,14,0,30
"ENSG00000104356",195,126,184,174,163,157,505,121,668,319
"ENSG00000104361",64,42,57,55,85,57,153,122,144,108
"ENSG00000104365",141,127,173,151,230,76,311,224,700,205
"ENSG00000104368",0,4,0,0,17,2,7,17,0,0
"ENSG00000104369",0,2,0,2,1,0,2,3,0,0
"ENSG00000104371",0,0,0,0,2,0,8,4,0,0
"ENSG00000104375",16,37,37,29,62,52,171,50,25,97
"ENSG00000104381",38,19,32,29,30,22,109,21,66,56
"ENSG00000104388",177,119,209,161,415,168,381,266,404,291
"ENSG00000104408",270,205,88,134,876,472,984,716,765,495
"ENSG00000104412",48,47,44,48,87,94,181,84,118,100
"ENSG00000104419",29,438,60,100,246,68,33,70,94,89
"ENSG00000104427",11,2,0,7,20,24,20,3,86,11
"ENSG00000104432",56,23,41,18,20,33,29,20,97,72
"ENSG00000104442",45,51,31,37,115,86,231,84,139,135
"ENSG00000104447",0,15,9,8,0,14,38,0,0,6
"ENSG00000104450",63,54,93,45,83,72,171,44,96,132
"ENSG00000104472",103,103,163,138,345,83,266,183,446,99
"ENSG00000104490",288,157,509,108,293,205,624,132,573,770
"ENSG00000104497",3,4,2,3,0,5,7,7,0,10
"ENSG00000104499",1,0,0,0,0,0,0,0,0,0
"ENSG00000104517",615,609,428,704,1664,912,2248,1884,2439,892
"ENSG00000104518",177,354,457,362,229,62,320,236,431,492
"ENSG00000104522",192,215,284,176,469,73,674,287,562,443
"ENSG00000104524",108,127,220,169,167,32,263,130,394,222
"ENSG00000104529",410,345,645,456,463,117,709,490,586,712
"ENSG00000104549",366,333,557,499,609,302,1044,810,1105,884
"ENSG00000104611",0,1,0,2,0,0,75,9,43,5
"ENSG00000104613",85,61,77,85,177,54,234,78,77,212
"ENSG00000104626",53,52,95,59,147,89,202,73,163,167
"ENSG00000104635",111,122,152,116,158,62,424,188,337,273
"ENSG00000104643",67,43,40,39,72,33,124,67,41,73
"ENSG00000104660",53,53,59,56,162,64,196,52,112,114
"ENSG00000104671",10,10,13,19,26,16,41,11,43,15
"ENSG00000104679",134,143,170,197,204,46,226,188,273,312
"ENSG00000104687",286,272,322,293,413,208,548,367,766,533
"ENSG00000104689",5,13,10,3,5,0,10,10,25,11
"ENSG00000104691",9,8,9,12,23,24,33,18,0,20
"ENSG00000104695",97,48,147,72,37,48,97,54,105,122
"ENSG00000104714",209,143,222,203,193,83,215,269,357,203
"ENSG00000104722",0,0,0,0,0,0,1,0,0,0
"ENSG00000104723",0,0,0,0,0,1,0,0,0,2
"ENSG00000104725",0,0,0,1,0,0,0,0,0,0
"ENSG00000104728",1,0,0,3,3,1,1,5,14,5
"ENSG00000104731",245,203,301,272,189,33,264,201,248,337
"ENSG00000104738",623,847,1030,872,1952,656,2728,1003,4381,2007
"ENSG00000104756",1,0,3,2,1,11,7,0,0,10
"ENSG00000104763",281,190,254,119,227,169,444,317,451,383
"ENSG00000104765",270,379,464,297,817,536,931,763,486,496
"ENSG00000104774",2458,1621,1995,1683,3375,643,3367,3933,3769,2596
"ENSG00000104777",0,1,0,2,0,0,0,0,0,0
"ENSG00000104783",573,352,421,430,341,22,467,510,858,344
"ENSG00000104804",2,2,5,5,0,0,12,3,0,2
"ENSG00000104805",880,686,1222,1312,1452,291,1610,1947,2209,1334
"ENSG00000104808",0,0,0,1,1,0,6,2,8,3
"ENSG00000104812",592,680,886,647,1498,268,931,1474,2337,908
"ENSG00000104814",464,521,870,730,1945,495,908,1009,2201,1076
"ENSG00000104823",987,634,1258,820,1098,414,1300,1018,1905,1501
"ENSG00000104824",469,458,899,593,396,255,508,257,298,966
"ENSG00000104825",401,233,394,332,455,65,340,384,819,399
"ENSG00000104833",81,25,31,26,117,43,71,45,123,7
"ENSG00000104835",114,97,175,153,268,40,226,253,390,264
"ENSG00000104852",1231,1469,2836,1846,2578,337,1820,1651,3990,3301
"ENSG00000104853",569,372,584,547,1286,184,807,818,1537,602
"ENSG00000104856",1090,518,831,468,318,99,581,869,623,836
"ENSG00000104859",260,134,131,246,254,46,149,357,412,123
"ENSG00000104863",0,3,7,3,4,1,4,5,0,2
"ENSG00000104866",186,112,185,166,116,43,115,166,291,164
"ENSG00000104870",25,2,94,8,1,2,12,16,0,25
"ENSG00000104872",254,293,599,274,617,194,596,332,576,710
"ENSG00000104879",0,0,1,0,0,0,0,1,0,1
"ENSG00000104880",573,445,458,635,675,107,429,592,1178,456
"ENSG00000104881",41,104,99,98,118,7,68,393,103,31
"ENSG00000104883",11,6,13,13,7,2,10,2,0,20
"ENSG00000104884",171,198,260,236,433,69,413,207,734,323
"ENSG00000104885",1065,697,610,1075,833,152,689,1276,2735,379
"ENSG00000104886",454,356,394,337,336,62,488,257,349,666
"ENSG00000104888",0,0,0,0,1,0,0,0,0,0
"ENSG00000104889",137,156,522,303,458,95,487,194,749,775
"ENSG00000104892",5,1,20,2,9,0,12,4,42,10
"ENSG00000104894",1395,1072,1284,1301,2922,498,2235,3517,2878,1278
"ENSG00000104897",768,760,800,1018,2459,271,926,1488,2998,449
"ENSG00000104899",1,2,2,5,0,0,0,5,0,1
"ENSG00000104901",0,0,0,0,0,0,1,0,0,0
"ENSG00000104903",44,113,188,154,125,16,155,176,216,84
"ENSG00000104904",2131,1838,3547,2367,6771,487,3586,2411,4037,5428
"ENSG00000104907",100,127,120,125,261,37,195,137,381,236
"ENSG00000104915",106,141,262,165,204,48,264,137,281,294
"ENSG00000104921",7034,4205,4101,2080,5163,567,4955,6129,8420,3080
"ENSG00000104936",252,132,69,140,72,12,66,188,99,38
"ENSG00000104938",3,0,0,0,0,0,1,0,0,0
"ENSG00000104941",0,2,0,0,0,0,1,2,0,0
"ENSG00000104946",319,227,247,207,410,83,280,519,418,178
"ENSG00000104951",1014,536,2173,1185,1071,393,589,781,2283,1171
"ENSG00000104953",14,22,18,18,22,6,24,15,0,30
"ENSG00000104957",69,65,118,73,64,14,77,79,78,91
"ENSG00000104960",221,188,244,187,309,45,373,262,502,315
"ENSG00000104964",3134,2135,3082,2961,5435,984,3183,3669,5886,2974
"ENSG00000104967",2,0,0,0,1,0,0,0,1,0
"ENSG00000104969",737,595,736,740,1801,192,998,1033,2350,1018
"ENSG00000104970",11,0,9,7,17,6,14,1,2,2
"ENSG00000104972",96,81,75,79,184,69,130,124,243,71
"ENSG00000104973",284,233,337,282,656,87,320,534,1138,220
"ENSG00000104974",0,0,1,0,0,0,0,5,0,0
"ENSG00000104976",174,115,184,150,233,39,195,292,394,194
"ENSG00000104979",507,338,469,369,932,181,866,590,1032,721
"ENSG00000104980",305,247,360,264,375,86,415,266,1010,567
"ENSG00000104983",87,98,147,88,113,17,119,126,206,203
"ENSG00000104998",366,192,353,199,425,119,566,325,711,468
"ENSG00000105011",317,372,635,486,1340,228,1167,593,1331,1005
"ENSG00000105053",181,137,189,144,201,60,304,230,350,263
"ENSG00000105058",203,148,165,227,488,72,366,179,474,270
"ENSG00000105063",1548,1332,2163,2324,2811,384,2036,2243,6230,1707
"ENSG00000105072",23,12,20,38,24,6,21,49,56,25
"ENSG00000105085",203,117,162,140,98,73,152,231,239,188
"ENSG00000105088",3,1,0,0,0,0,0,1,0,1
"ENSG00000105122",796,381,1392,1027,918,186,729,1110,1323,1227
"ENSG00000105127",235,182,244,356,282,61,292,278,368,194
"ENSG00000105131",0,1,0,0,1,0,3,1,0,0
"ENSG00000105132",11,12,2,12,13,6,28,29,17,7
"ENSG00000105135",157,144,546,293,200,58,317,266,287,541
"ENSG00000105136",7,12,1,10,5,2,22,18,0,11
"ENSG00000105137",1,0,0,0,0,0,1,0,0,0
"ENSG00000105141",0,2,0,0,2,1,12,2,0,1
"ENSG00000105146",5,0,7,1,1,1,4,0,0,0
"ENSG00000105171",145,97,144,105,289,62,293,125,464,267
"ENSG00000105173",146,141,163,134,220,48,244,135,634,212
"ENSG00000105176",286,232,306,255,542,174,648,238,454,361
"ENSG00000105185",239,157,232,122,277,44,253,81,92,286
"ENSG00000105186",301,135,175,202,250,87,501,262,453,415
"ENSG00000105193",1817,1016,1116,1079,713,1108,3048,1301,1229,2769
"ENSG00000105197",348,315,391,310,624,96,546,265,765,712
"ENSG00000105202",2200,1782,3131,2221,4784,1255,4328,2071,4271,4238
"ENSG00000105204",99,81,48,62,141,17,73,108,188,37
"ENSG00000105205",0,1,0,2,2,0,2,0,0,0
"ENSG00000105216",359,308,473,323,487,272,645,402,617,421
"ENSG00000105219",0,0,0,0,0,0,1,1,0,0
"ENSG00000105220",2929,3643,4138,4024,8787,2560,6999,7964,8664,4790
"ENSG00000105221",1254,891,1401,1314,1956,346,1547,1502,2491,1451
"ENSG00000105223",435,409,427,486,765,133,592,999,1174,406
"ENSG00000105227",14,10,4,24,7,2,18,84,17,3
"ENSG00000105229",198,133,273,263,363,64,220,254,692,265
"ENSG00000105245",30,77,29,76,70,7,68,120,150,50
"ENSG00000105246",2569,860,946,454,1279,159,1365,2348,2786,1991
"ENSG00000105248",191,157,306,293,322,36,194,189,514,241
"ENSG00000105251",0,0,0,0,0,0,0,1,0,0
"ENSG00000105254",333,219,352,270,369,121,373,181,363,581
"ENSG00000105255",6,3,6,3,5,0,4,5,108,20
"ENSG00000105258",182,154,189,162,233,51,318,135,497,265
"ENSG00000105270",113,25,48,25,38,30,90,148,87,19
"ENSG00000105278",0,3,6,3,1,0,2,8,0,0
"ENSG00000105281",1096,890,2020,1490,2202,712,1369,1526,2566,2159
"ENSG00000105287",1047,604,1024,1463,1457,182,1250,1102,2085,570
"ENSG00000105289",1,3,2,1,2,0,0,0,0,0
"ENSG00000105290",5,0,12,9,6,2,4,0,0,6
"ENSG00000105298",232,131,202,231,200,38,184,192,609,190
"ENSG00000105321",133,97,250,197,173,74,133,178,298,152
"ENSG00000105323",2647,2302,2195,3067,6988,1646,3945,4380,8543,2049
"ENSG00000105325",478,246,532,566,436,68,417,541,787,425
"ENSG00000105327",311,211,311,174,106,34,179,159,292,397
"ENSG00000105329",2855,2255,2586,2252,4057,651,2078,4361,7053,1558
"ENSG00000105339",622,532,344,160,447,62,467,511,1135,595
"ENSG00000105341",201,183,284,244,509,71,431,346,446,374
"ENSG00000105355",664,822,1239,820,787,128,953,950,1054,976
"ENSG00000105357",1,2,3,2,0,0,0,0,0,0
"ENSG00000105364",824,718,958,715,1604,145,1097,868,2310,1681
"ENSG00000105366",1,0,0,0,0,0,0,0,0,0
"ENSG00000105369",4585,2048,3280,2697,5551,1649,3366,4076,5278,2949
"ENSG00000105370",0,0,0,1,0,0,0,0,0,0
"ENSG00000105371",10,7,25,18,27,0,22,27,0,8
"ENSG00000105372",1863,1060,1314,944,921,640,1970,1266,1015,2198
"ENSG00000105373",2469,2053,1858,1415,1960,382,1713,2659,1675,2348
"ENSG00000105374",3,4,10,7,13,1,10,10,21,19
"ENSG00000105376",6,19,4,15,1,0,15,50,0,3
"ENSG00000105379",290,289,615,506,417,123,726,264,529,639
"ENSG00000105383",0,0,1,0,3,2,0,0,21,2
"ENSG00000105393",332,352,622,455,862,152,773,377,910,892
"ENSG00000105397",736,821,853,692,972,135,1130,1461,3239,1330
"ENSG00000105401",423,440,684,484,709,182,711,492,1205,888
"ENSG00000105402",737,580,800,806,1454,229,1016,924,2306,863
"ENSG00000105404",283,230,449,338,269,97,465,435,368,529
"ENSG00000105409",2,2,6,10,16,11,23,23,23,5
"ENSG00000105426",5,14,225,175,106,40,72,5,324,13
"ENSG00000105427",10,1,2,2,0,0,10,2,0,1
"ENSG00000105429",279,163,221,277,205,69,220,377,792,119
"ENSG00000105438",466,387,546,462,1973,308,982,1007,1670,614
"ENSG00000105443",222,133,400,199,246,69,250,213,317,273
"ENSG00000105447",485,341,781,545,859,97,769,455,1210,955
"ENSG00000105464",13,11,4,10,8,0,14,25,0,3
"ENSG00000105467",0,0,2,1,1,0,0,1,0,1
"ENSG00000105472",12,3,5,1,13,0,1,2,0,0
"ENSG00000105479",0,0,0,2,0,0,1,0,0,1
"ENSG00000105483",71,77,117,88,247,72,246,189,271,99
"ENSG00000105486",488,523,810,826,746,256,982,626,1337,886
"ENSG00000105492",0,0,0,0,3,0,0,0,0,0
"ENSG00000105497",26,19,22,27,42,26,104,36,62,36
"ENSG00000105499",54,7,33,4,28,1,41,46,28,34
"ENSG00000105501",12,10,17,5,23,3,45,19,0,11
"ENSG00000105509",0,1,0,0,1,0,1,2,0,0
"ENSG00000105514",71,43,123,63,181,23,57,162,226,118
"ENSG00000105516",38,56,81,52,61,20,59,91,80,81
"ENSG00000105518",168,123,266,180,197,72,254,121,305,355
"ENSG00000105519",24,13,19,24,16,4,4,35,59,10
"ENSG00000105520",26,11,27,16,23,0,23,41,0,7
"ENSG00000105523",1,0,0,1,0,0,0,0,0,0
"ENSG00000105538",0,0,0,0,0,0,0,1,0,1
"ENSG00000105549",0,1,0,0,1,0,1,2,0,0
"ENSG00000105552",325,272,433,311,343,97,441,367,906,501
"ENSG00000105556",140,138,202,207,199,44,219,832,510,148
"ENSG00000105559",11,13,54,39,25,1,20,105,34,23
"ENSG00000105568",1989,1534,2041,1758,2242,762,3446,2322,4775,3272
"ENSG00000105576",677,509,408,626,684,298,913,742,1700,651
"ENSG00000105583",386,218,251,247,307,99,596,269,340,366
"ENSG00000105605",0,0,1,0,0,0,0,0,0,0
"ENSG00000105607",181,174,369,182,251,52,390,199,487,590
"ENSG00000105610",0,1,2,4,5,0,2,0,0,1
"ENSG00000105612",120,121,292,208,396,71,223,151,328,278
"ENSG00000105613",12,7,15,14,12,0,10,25,0,5
"ENSG00000105617",62,59,109,95,87,27,66,81,0,95
"ENSG00000105618",364,244,410,344,291,80,460,244,688,589
"ENSG00000105619",147,125,271,175,194,30,185,186,351,253
"ENSG00000105639",730,477,578,496,453,123,757,1047,1595,457
"ENSG00000105640",10,8,11,6,19,10,30,11,8,20
"ENSG00000105641",8,0,1,0,0,0,1,1,0,1
"ENSG00000105642",88,30,30,19,8,5,16,146,51,24
"ENSG00000105643",51,38,55,44,35,11,37,80,29,41
"ENSG00000105647",238,262,276,240,506,94,424,447,1028,301
"ENSG00000105649",7,12,11,3,17,7,24,30,40,17
"ENSG00000105650",3,2,9,0,0,0,1,6,8,2
"ENSG00000105655",41,59,192,97,72,3,98,50,189,84
"ENSG00000105656",378,300,480,573,513,75,423,647,825,459
"ENSG00000105662",50,25,43,34,59,21,43,58,90,16
"ENSG00000105663",611,403,339,565,433,147,377,978,1663,119
"ENSG00000105664",0,0,6,2,0,0,0,0,0,0
"ENSG00000105668",2,0,3,4,1,1,0,7,0,0
"ENSG00000105669",997,808,1317,928,2389,226,1384,1550,2401,1770
"ENSG00000105671",398,334,406,384,568,58,549,325,912,646
"ENSG00000105672",3,4,7,3,6,1,6,10,25,2
"ENSG00000105675",1,24,2,4,5,1,0,8,0,9
"ENSG00000105676",363,305,438,368,463,106,611,292,868,873
"ENSG00000105677",93,102,129,102,117,77,299,90,148,269
"ENSG00000105679",4,3,0,3,0,0,6,0,22,2
"ENSG00000105694",0,0,0,2,1,0,1,0,0,0
"ENSG00000105695",0,0,2,2,0,1,1,3,0,1
"ENSG00000105697",0,0,0,0,0,0,1,0,0,0
"ENSG00000105698",1196,973,1018,1055,1351,305,1155,2324,1867,938
"ENSG00000105699",72,128,524,370,781,62,291,396,1092,539
"ENSG00000105700",651,427,592,518,2005,230,1002,834,1323,807
"ENSG00000105701",1980,1511,2916,2002,2299,796,1964,2822,3629,1992
"ENSG00000105705",111,90,136,139,306,29,187,124,315,114
"ENSG00000105707",0,0,2,0,0,0,0,0,0,0
"ENSG00000105708",5,8,10,9,7,23,40,17,9,25
"ENSG00000105711",0,0,2,0,0,0,0,0,0,0
"ENSG00000105717",2,7,11,12,7,2,2,3,15,7
"ENSG00000105722",484,346,632,534,772,186,524,702,827,407
"ENSG00000105723",525,410,560,485,702,174,574,446,857,456
"ENSG00000105726",510,409,500,746,1000,162,636,768,1435,564
"ENSG00000105732",241,146,242,276,237,68,227,324,372,183
"ENSG00000105737",1,0,0,0,0,0,3,5,0,0
"ENSG00000105738",638,700,560,1071,1267,322,871,1682,2996,291
"ENSG00000105750",4,3,11,3,8,9,24,10,27,8
"ENSG00000105755",117,158,164,130,106,7,288,196,187,150
"ENSG00000105767",6,1,4,7,6,1,6,1,0,4
"ENSG00000105771",136,149,244,179,423,54,243,257,607,216
"ENSG00000105778",159,141,106,159,291,116,430,247,356,229
"ENSG00000105784",0,0,0,0,2,0,0,0,0,1
"ENSG00000105792",0,1,0,0,0,2,0,1,0,0
"ENSG00000105793",33,26,4,37,88,59,145,40,158,67
"ENSG00000105808",1,0,0,0,2,0,0,0,0,0
"ENSG00000105810",764,465,910,524,972,819,1373,749,2214,919
"ENSG00000105819",264,233,155,160,388,227,752,324,494,511
"ENSG00000105821",88,85,82,108,89,60,229,104,193,100
"ENSG00000105825",67,5,3,1,8,0,13,0,40,7
"ENSG00000105829",15,16,14,8,39,38,63,18,0,37
"ENSG00000105835",61,59,81,54,168,79,138,106,155,117
"ENSG00000105849",82,78,109,75,129,125,370,90,273,218
"ENSG00000105851",85,35,166,129,181,28,218,100,192,59
"ENSG00000105852",0,0,1,0,0,0,0,0,0,0
"ENSG00000105854",17,5,20,10,13,17,17,0,13,36
"ENSG00000105855",34,7,27,30,13,41,27,15,138,83
"ENSG00000105856",49,25,34,34,24,50,77,40,73,55
"ENSG00000105865",16,9,6,10,23,24,40,20,0,27
"ENSG00000105866",70,39,45,27,166,64,215,115,196,76
"ENSG00000105875",435,206,365,266,233,106,473,414,586,653
"ENSG00000105877",1,0,0,0,1,0,2,11,0,1
"ENSG00000105879",101,59,82,112,506,155,305,197,488,100
"ENSG00000105887",417,337,574,422,969,571,1138,765,1108,704
"ENSG00000105889",0,0,0,0,0,0,1,0,0,1
"ENSG00000105926",119,64,77,105,89,194,237,68,292,102
"ENSG00000105928",512,620,147,395,422,211,1273,489,851,915
"ENSG00000105929",0,0,0,0,0,0,3,0,0,0
"ENSG00000105939",287,298,336,421,1025,247,852,875,689,361
"ENSG00000105948",12,14,8,15,27,22,51,10,0,37
"ENSG00000105953",810,729,1035,920,2289,395,1813,1136,4490,1604
"ENSG00000105963",117,113,211,95,193,5,82,135,378,187
"ENSG00000105967",0,0,0,0,0,0,4,8,0,0
"ENSG00000105968",202,176,238,209,210,197,539,151,327,293
"ENSG00000105971",0,1,0,2,2,0,0,30,0,7
"ENSG00000105974",75,22,23,23,33,10,39,71,132,58
"ENSG00000105976",0,0,0,0,1,0,0,0,0,1
"ENSG00000105982",2,8,7,4,7,3,10,19,0,5
"ENSG00000105983",77,91,97,86,140,131,328,129,220,214
"ENSG00000105988",32,35,45,25,53,15,91,30,139,114
"ENSG00000105989",45,6,7,2,1,0,2,3,0,17
"ENSG00000105991",1,0,0,0,6,2,1,0,0,1
"ENSG00000105993",192,154,371,220,408,143,544,204,540,496
"ENSG00000105997",0,0,0,0,0,0,0,0,0,1
"ENSG00000106003",22,10,42,15,11,2,19,24,19,27
"ENSG00000106006",0,0,0,0,0,0,0,0,0,1
"ENSG00000106009",373,271,470,339,422,36,406,438,1233,575
"ENSG00000106012",69,25,40,40,78,11,42,41,286,43
"ENSG00000106018",0,0,0,0,0,0,0,0,0,1
"ENSG00000106025",312,15,78,29,41,21,46,15,74,187
"ENSG00000106028",154,174,132,171,173,194,669,114,199,322
"ENSG00000106031",0,0,0,0,0,0,0,2,0,0
"ENSG00000106034",0,0,0,0,1,0,1,0,0,0
"ENSG00000106049",48,56,95,73,93,63,137,51,145,138
"ENSG00000106052",254,235,115,176,245,198,676,340,437,346
"ENSG00000106066",0,0,7,0,0,0,0,6,0,0
"ENSG00000106069",0,0,6,0,0,0,0,0,0,0
"ENSG00000106070",0,0,9,0,0,0,1,0,0,0
"ENSG00000106077",37,21,35,54,52,6,56,37,50,64
"ENSG00000106078",0,0,3,0,1,0,0,0,0,0
"ENSG00000106080",14,10,5,9,10,14,25,24,0,11
"ENSG00000106086",19,13,31,13,24,11,22,17,59,36
"ENSG00000106089",3,9,9,9,6,1,6,17,0,6
"ENSG00000106100",60,53,46,72,53,18,99,79,167,67
"ENSG00000106105",731,654,720,754,2261,505,1849,1051,3048,1193
"ENSG00000106113",0,0,4,3,0,0,0,2,0,0
"ENSG00000106123",4,5,0,11,9,4,2,3,5,7
"ENSG00000106125",1,0,0,1,1,0,1,0,0,0
"ENSG00000106128",1,0,0,0,0,0,0,0,43,0
"ENSG00000106144",207,157,155,252,427,221,558,255,781,213
"ENSG00000106153",108,74,160,103,177,89,339,75,191,178
"ENSG00000106178",0,1,0,0,0,0,0,0,0,0
"ENSG00000106211",308,460,427,259,621,78,439,331,1298,320
"ENSG00000106244",164,121,125,155,229,102,327,197,411,159
"ENSG00000106245",152,116,176,109,99,75,275,145,114,242
"ENSG00000106246",28,19,8,14,16,6,37,19,45,26
"ENSG00000106258",0,1,0,0,0,1,0,3,27,0
"ENSG00000106261",170,145,117,152,296,159,455,337,412,118
"ENSG00000106263",2068,1805,2444,2116,2604,561,3489,1822,5103,3491
"ENSG00000106266",643,591,803,619,756,70,832,619,1857,751
"ENSG00000106268",93,161,321,235,188,39,364,114,2,204
"ENSG00000106290",118,119,228,155,226,59,222,166,246,201
"ENSG00000106299",22,17,17,36,55,34,73,68,120,24
"ENSG00000106302",1,0,0,0,0,1,1,0,0,0
"ENSG00000106305",75,74,109,63,241,64,217,65,318,235
"ENSG00000106327",2,40,1,19,57,18,12,10,30,32
"ENSG00000106328",0,0,0,2,0,0,0,0,0,0
"ENSG00000106330",60,39,58,59,166,31,55,93,235,36
"ENSG00000106333",3,3,10,6,6,3,2,4,0,2
"ENSG00000106336",1,0,2,0,5,0,4,1,0,1
"ENSG00000106344",114,83,140,117,111,96,228,88,514,153
"ENSG00000106346",159,112,194,178,173,41,167,233,469,138
"ENSG00000106348",41,72,62,69,119,23,63,70,247,126
"ENSG00000106351",253,277,236,223,222,89,405,338,670,334
"ENSG00000106355",35,22,33,24,9,86,187,15,3,69
"ENSG00000106366",3,1,4,2,15,1,5,7,27,9
"ENSG00000106367",271,184,600,267,399,188,489,197,535,751
"ENSG00000106392",9,14,38,16,39,27,39,29,2,40
"ENSG00000106397",139,112,210,152,325,84,221,341,628,329
"ENSG00000106399",38,25,34,46,93,35,120,40,0,65
"ENSG00000106400",370,213,335,220,576,84,512,350,642,544
"ENSG00000106404",29,19,11,34,14,2,15,27,35,9
"ENSG00000106415",403,319,379,357,737,272,503,262,429,494
"ENSG00000106443",95,104,101,120,286,127,403,134,156,233
"ENSG00000106459",105,80,130,142,192,53,236,101,165,132
"ENSG00000106460",34,21,21,13,58,65,108,30,106,41
"ENSG00000106462",140,160,208,170,699,121,538,191,793,345
"ENSG00000106477",38,41,68,45,104,50,160,43,123,64
"ENSG00000106479",43,48,58,41,48,25,86,95,318,59
"ENSG00000106483",0,0,0,0,0,0,0,2,0,1
"ENSG00000106484",0,2,5,0,0,1,1,2,9,20
"ENSG00000106524",0,1,0,1,2,0,1,1,0,1
"ENSG00000106526",1,0,3,0,0,1,0,1,0,2
"ENSG00000106536",0,0,0,0,1,0,0,0,0,0
"ENSG00000106537",0,0,0,0,0,0,0,1,0,1
"ENSG00000106538",1,4,47,13,31,0,63,3,56,18
"ENSG00000106546",70,131,78,99,156,63,307,256,592,94
"ENSG00000106554",414,276,280,239,1330,146,805,652,834,582
"ENSG00000106560",75,78,98,59,76,42,243,42,29,151
"ENSG00000106565",1,0,0,0,0,0,0,0,0,1
"ENSG00000106571",1,0,0,0,3,1,0,0,0,0
"ENSG00000106588",134,107,108,109,111,165,528,62,70,360
"ENSG00000106591",67,50,142,62,237,45,146,105,270,252
